workclass,race,sex,native-country,income,age_range,hours-per-week_range,education-degree
state-gov,white,male,united-states,<=50k,30-45,21-40,Bach
self-emp-not-inc,white,male,united-states,<=50k,45-60,0-20,Bach
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,black,male,united-states,<=50k,45-60,21-40,MiddleSchool
private,black,female,cuba,<=50k,15-30,21-40,Bach
private,white,female,united-states,<=50k,30-45,21-40,Mast
private,black,female,jamaica,<=50k,45-60,0-20,MiddleSchool
self-emp-not-inc,white,male,united-states,>50k,45-60,41-60,HS-College
private,white,female,united-states,>50k,30-45,41-60,Mast
private,white,male,united-states,>50k,30-45,21-40,Bach
private,black,male,united-states,>50k,30-45,61-80,Assoc
state-gov,asian-pac-islander,male,india,>50k,15-30,21-40,Bach
private,white,female,united-states,<=50k,15-30,21-40,Bach
private,black,male,united-states,<=50k,30-45,41-60,Bach
private,asian-pac-islander,male,,>50k,30-45,21-40,Assoc
private,amer-indian-eskimo,male,mexico,<=50k,30-45,41-60,Elementary
self-emp-not-inc,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,30-45,41-60,MiddleSchool
self-emp-not-inc,white,female,united-states,>50k,30-45,41-60,Mast
private,white,male,united-states,>50k,30-45,41-60,Postmaster
private,black,female,united-states,<=50k,45-60,0-20,HS-College
federal-gov,black,male,united-states,<=50k,30-45,21-40,MiddleSchool
private,white,male,united-states,<=50k,30-45,21-40,MiddleSchool
private,white,female,united-states,<=50k,45-60,21-40,HS-College
local-gov,white,male,united-states,>50k,45-60,21-40,Bach
private,white,male,united-states,<=50k,15-30,21-40,HS-College
,asian-pac-islander,male,south,>50k,45-60,41-60,Assoc
private,white,male,united-states,<=50k,30-45,61-80,HS-College
private,white,male,united-states,<=50k,45-60,21-40,HS-College
local-gov,white,male,united-states,<=50k,15-30,41-60,Bach
private,black,male,united-states,<=50k,15-30,41-60,Assoc
private,white,male,united-states,<=50k,30-45,21-40,Bach
federal-gov,white,male,united-states,<=50k,15-30,21-40,Assoc
state-gov,black,male,united-states,<=50k,15-30,0-20,Assoc
private,white,male,puerto-rico,<=50k,45-60,21-40,MiddleSchool
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,male,,>50k,30-45,21-40,Assoc
self-emp-not-inc,white,male,united-states,<=50k,45-60,21-40,Bach
private,white,male,united-states,<=50k,30-45,41-60,MiddleSchool
self-emp-not-inc,white,male,united-states,<=50k,45-60,21-40,Bach
private,white,male,united-states,<=50k,15-30,41-60,Bach
private,white,female,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,HS-College
federal-gov,black,male,united-states,>50k,45-60,21-40,Bach
private,white,male,united-states,<=50k,45-60,21-40,HS-College
private,white,female,united-states,<=50k,30-45,21-40,Mast
state-gov,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,15-30,41-60,Assoc
private,other,female,united-states,<=50k,15-30,21-40,Assoc
private,white,female,,<=50k,15-30,21-40,HS-College
private,white,female,honduras,>50k,45-60,41-60,Mast
federal-gov,white,male,united-states,>50k,45-60,41-60,Bach
self-emp-inc,white,male,united-states,<=50k,45-60,41-60,HS-College
private,white,male,united-states,>50k,30-45,21-40,Assoc
private,white,male,mexico,<=50k,45-60,21-40,Elementary
private,white,male,puerto-rico,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,30-45,41-60,HS-College
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Bach
,white,male,,<=50k,30-45,21-40,Elementary
private,white,male,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,>50k,30-45,41-60,Postmaster
private,white,male,united-states,<=50k,15-30,41-60,Assoc
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,>50k,45-60,21-40,HS-College
self-emp-inc,white,male,united-states,>50k,45-60,41-60,Assoc
,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,black,female,united-states,<=50k,30-45,21-40,Bach
self-emp-not-inc,white,male,united-states,>50k,15-30,61-80,Bach
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,75-90,0-20,Assoc
private,white,male,mexico,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,30-45,21-40,Bach
,white,male,united-states,<=50k,60-75,0-20,MiddleSchool
private,white,female,united-states,<=50k,15-30,21-40,MiddleSchool
local-gov,white,male,united-states,<=50k,30-45,21-40,Elementary
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,cuba,<=50k,45-60,21-40,Bach
private,white,female,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,45-60,41-60,HS-College
private,white,female,united-states,>50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,45-60,21-40,HS-College
local-gov,white,male,united-states,>50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,30-45,41-60,Mast
private,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
federal-gov,white,female,united-states,>50k,30-45,41-60,Postmaster
private,white,male,united-states,<=50k,45-60,21-40,Assoc
private,white,female,united-states,<=50k,30-45,21-40,Assoc
private,black,female,united-states,<=50k,15-30,21-40,Assoc
private,asian-pac-islander,female,,<=50k,15-30,21-40,HS-College
local-gov,white,male,united-states,>50k,30-45,21-40,Bach
local-gov,white,male,united-states,<=50k,15-30,41-60,Assoc
self-emp-not-inc,white,male,united-states,>50k,45-60,41-60,Postmaster
private,white,male,united-states,>50k,30-45,41-60,Assoc
private,white,female,england,<=50k,45-60,21-40,Bach
federal-gov,black,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,>50k,75-90,21-40,Mast
private,white,male,united-states,>50k,30-45,41-60,Bach
self-emp-not-inc,white,female,united-states,<=50k,45-60,41-60,Mast
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,HS-College
self-emp-inc,white,male,united-states,>50k,30-45,21-40,HS-College
,white,female,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
local-gov,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Bach
private,white,male,united-states,>50k,30-45,21-40,Mast
self-emp-not-inc,white,male,canada,>50k,45-60,41-60,HS-College
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,45-60,41-60,MiddleSchool
self-emp-inc,white,male,united-states,<=50k,45-60,41-60,Assoc
local-gov,black,male,united-states,>50k,45-60,21-40,Assoc
private,white,male,united-states,<=50k,45-60,41-60,Assoc
private,white,male,united-states,<=50k,15-30,41-60,HS-College
